cenario,teste,metrica,n_com,n_sem,media_com,media_sem,welch_t,welch_p,mannwhitney_p,metodo
1,1,co2Medio_g,3,3,149.263,144.8,11.440266572423793,0.007554136518010959,0.06360256962075367,scipy
1,1,co2Medio_real_g,3,3,556880,549949,2.809114901212459,0.10680429761855989,0.06360256962075367,scipy
1,1,combustivelMedio_ml,3,3,74.63,72.4,11.404697788533142,0.007600792732856083,0.06360256962075367,scipy
1,1,combustivelMedio_real_ml,3,3,180534,178286,2.809291481081052,0.10679294568396405,0.06360256962075367,scipy
1,1,suppressionRatio,3,3,0.690467,0,47.84599360316389,0.0004365403489035975,0.06360256962075367,scipy
1,1,tempoMedioViagem,3,3,225.52,216.18,5.694592659872652,0.029480345341422222,0.06360256962075367,scipy
1,1,tempoMedioViagem_real,3,3,272.541,263.754,7.15401617055735,0.018984281764479388,0.06360256962075367,scipy
1,1,tempoViagem_P50,3,3,218.333,207,17.000000000000014,0.003442351007066407,0.05934643879191985,scipy
1,1,tempoViagem_P50_real,3,3,259,251,4.618802153517007,0.043817112532485075,0.06360256962075367,scipy
1,1,tempoViagem_P90,3,3,420,417,0.4146981098256823,0.718612570233675,0.6428348264908044,scipy
1,1,tempoViagem_P90_real,3,3,454,418,2.5341850994029023,0.12677072338336987,0.06360256962075367,scipy
1,1,tempoViagem_P95,3,3,504,482,1.9890709564404103,0.18499883531086422,0.19670560245894686,scipy
1,1,tempoViagem_P95_real,3,3,504.15,463.5,2.8976454461758383,0.10132053805218233,0.06360256962075367,scipy
1,1,throughput_total,3,3,1366.67,1475,-14.377153544123777,0.0048030430456166145,0.06360256962075367,scipy
1,1,throughput_vps,3,3,6.06133,6.823,-10.131170034262881,0.009602624756095432,0.06360256962075367,scipy
1,1,totalAlertsTriggered,3,3,831.333,0,140.29846124547518,5.079969330551245e-05,0.06360256962075367,scipy
1,1,totalCamsReceived,3,3,42244.3,0,160.5207015763655,3.880722783668364e-05,0.06360256962075367,scipy
1,1,totalDenmsReceived,3,3,24364.7,0,108.07437432442907,8.560492885985611e-05,0.06360256962075367,scipy
1,1,totalV2xMessages,3,3,66609,0,169.56743279530718,3.477702712662813e-05,0.06360256962075367,scipy
1,2,co2Medio_g,3,3,148.657,144.8,11.06227747783519,0.008072852221067177,0.06360256962075367,scipy
1,2,co2Medio_real_g,3,3,562953,549949,6.726196321783139,0.021396640021421377,0.06360256962075367,scipy
1,2,combustivelMedio_ml,3,3,74.33,72.4,11.015091808832382,0.008141320035168422,0.06360256962075367,scipy
1,2,combustivelMedio_real_ml,3,3,182503,178286,6.726504752659751,0.02139474038395156,0.06360256962075367,scipy
1,2,suppressionRatio,3,3,0.693533,0,112.03360039515493,7.96620569998896e-05,0.06360256962075367,scipy
1,2,tempoMedioViagem,3,3,230.01,216.18,24.202399156880368,0.0017028357526573876,0.06360256962075367,scipy
1,2,tempoMedioViagem_real,3,3,279.299,263.754,14.250112055251888,0.004888434474519919,0.06360256962075367,scipy
1,2,tempoViagem_P50,3,3,221.667,207,12.203404316955032,0.0066479898313920194,0.06360256962075367,scipy
1,2,tempoViagem_P50_real,3,3,264.667,251,10.250000000000014,0.009384371804354948,0.05934643879191985,scipy
1,2,tempoViagem_P90,3,3,431.333,417,2.6266430536605587,0.11951033253800353,0.06360256962075367,scipy
1,2,tempoViagem_P90_real,3,3,456.1,418,3.865613905680439,0.06087437076848435,0.06360256962075367,scipy
1,2,tempoViagem_P95,3,3,514.333,482,97.00000000000011,0.00010626427956252824,0.05934643879191985,scipy
1,2,tempoViagem_P95_real,3,3,522.95,463.5,18.752139418611883,0.0028317218922965645,0.06360256962075367,scipy
1,2,throughput_total,3,3,1372.67,1475,-15.89585745350987,0.003934261655938624,0.06360256962075367,scipy
1,2,throughput_vps,3,3,5.968,6.823,-22.095654391979426,0.0020419938819357347,0.06360256962075367,scipy
1,2,totalAlertsTriggered,3,3,873.333,0,187.14285714285714,2.855189175802241e-05,0.06360256962075367,scipy
1,2,totalCamsReceived,3,3,44586.3,0,70.5815095817262,0.00020067227440744468,0.06360256962075367,scipy
1,2,totalDenmsReceived,3,3,25813.3,0,118.21991467360604,7.154381723696749e-05,0.06360256962075367,scipy
1,2,totalV2xMessages,3,3,70399.7,0,83.59059676744859,0.00014308428236575174,0.06360256962075367,scipy
