Métrica,Média,Mediana
Trip_Time_Avg,288.52,269.45
P50,268.15,259.25
P95,645.85,618.55
Queue_Max_M,305.50,290.00
Queue_Duration_S,1500,1500.00
Throughput,5.251,5.312
V2X_Efficiency,0.0,0.0
CO2_Avg,201.42,195.85
Fuel_Avg,99.82,97.25
Speed_Bottleneck,16.82,17.51
