Métrica,Média,Mediana
Trip_Time_Avg,289.10,270.15
P50,269.05,260.10
P95,648.20,621.10
Queue_Max_M,308.20,292.50
Queue_Duration_S,1500,1500.00
Throughput,5.240,5.298
V2X_Efficiency,0.0,0.0
CO2_Avg,202.15,196.40
Fuel_Avg,100.12,97.80
Speed_Bottleneck,16.75,17.42
