Métrica,Média,Mediana
Trip_Time_Avg,238.15,208.40
P50,208.10,199.50
P95,420.50,401.20
Queue_Max_M,190.20,175.00
Queue_Duration_S,1182.00,1140.00
Throughput,4.452,4.510
V2X_Efficiency,0.0,0.0
CO2_Avg,168.45,160.20
Fuel_Avg,83.80,80.10
Speed_Bottleneck,18.75,19.20
